TechnicalScore,MLScore,ReturnScore,ReliabilityScore,CompositeScore,Signal,Confidence,Symbol,GRU_HOLD,GRU_LONG,GRU_SHORT,GRUScore,HybridMLScore,CompositeScoreV2,SignalV2
100.0,-8.129999999999999,100.0,80,65.56,BUY,107.09,ADANIENT.NS,37.80360817909241,29.75589632987976,32.44049549102783,-2.6845991611480713,-5.407299580574035,65.37781012582779,BUY
94.36,-10.900000000000002,100.0,70,61.47,BUY,77.35,ADANIPORTS.NS,34.57665145397186,32.46097266674042,32.962384819984436,-0.5014121532440186,-5.70070607662201,61.81578817701339,BUY
79.84,2.530000000000001,54.08298518960926,80,51.51,BUY,77.76,COALINDIA.NS,39.02188837528229,27.129581570625305,33.84852707386017,-6.718945503234863,-2.094472751617431,50.13225521243662,BUY
74.7,-1.2699999999999996,75.62311569389689,60,50.62,BUY,96.39,HINDALCO.NS,40.64372777938843,26.631838083267212,32.72442817687988,-6.092590093612671,-3.6812950468063352,49.16523462473748,BUY
60.62,-0.6400000000000006,53.36063598547221,70,41.73,BUY,121.38,GRASIM.NS,36.00865304470062,29.650557041168213,34.34079587459564,-4.690238833427429,-2.665119416713715,41.58959137208033,BUY
61.18,-10.419999999999998,56.02663460946769,70,39.55,BUY,100.91,APOLLOHOSP.NS,36.30630373954773,31.625869870185852,32.06782042980194,-0.44195055961608887,-5.4309752798080435,41.489034337951125,BUY
51.56,3.2799999999999976,51.21985829692477,70,38.85,BUY,93.66,ASIANPAINT.NS,35.917383432388306,29.84054982662201,34.24207270145416,-4.401522874832153,-0.5607614374160779,38.62174322816013,BUY
58.56,-8.41,49.47625359110841,60,36.8,BUY,106.39,BAJAJ-AUTO.NS,35.04148721694946,32.490670680999756,32.46784210205078,0.02282857894897461,-4.193585710525513,38.133175005064025,BUY
46.57,3.8500000000000014,33.290369957388506,60,32.44,BUY,83.17,JSWSTEEL.NS,42.35071539878845,25.63364803791046,32.01562464237213,-6.38197660446167,-1.2659883022308343,31.577777500808452,BUY
26.42,11.06,26.457430006223547,70,26.18,HOLD,81.32,CIPLA.NS,33.223119378089905,27.369555830955505,39.40732777118683,-12.037771940231323,-0.4888859701156614,24.891820210210014,HOLD
26.88,-16.64,33.12274547825574,70,19.38,HOLD,71.98,TITAN.NS,33.33,33.33,33.33,0.0,-8.32,24.036549095651147,HOLD
